Airfoil,Efficiency
goe604.dat,123.7033
goe572.dat,123.0153
goe615.dat,122.8144
goe702.dat,120.6962
hq3510.dat,120.1718
goe630.dat,118.9848
goe593.dat,118.5745
goe655.dat,118.1778
goe602m.dat,116.8701
goe623.dat,116.8087
goe613.dat,116.2909
goe477.dat,116.1325
goe647.dat,115.7389
hq3010.dat,115.5223
hq3011.dat,114.9777
goe626.dat,114.7192
goe612.dat,114.6712
hq309.dat,114.4897
goe621.dat,114.0592
goe458.dat,113.7591
goe602.dat,113.6659
hs1712.dat,113.5751
goe625.dat,113.4023
goe645.dat,113.3367
goe495.dat,112.9948
hq3512.dat,112.7734
hq3013.dat,112.3091
goe483.dat,112.2378
goe534.dat,111.7697
hq3012.dat,111.7159
hq3513.dat,111.2586
hq308.dat,111.0435
hq3014.dat,110.8525
goe546.dat,110.7572
hq3015.dat,109.7044
goe693.dat,109.6389
hq3514.dat,109.6190
goe532.dat,109.5831
goe590.dat,108.5991
hq3518.dat,108.2192
goe585.dat,107.2593
goe646.dat,106.6356
goe628.dat,106.6229
goe673.dat,106.3459
goe595.dat,106.1120
goe619.dat,105.1409
goe648.dat,105.1371
hs1708.dat,104.8431
goe685.dat,104.6989
goe629.dat,104.2147
goe480.dat,103.2209
goe650.dat,102.6328
hq2511.dat,100.7095
goe670.dat,100.6360
goe679.dat,100.5282
hq258.dat,99.7823
hq2510.dat,99.4153
hq259b.dat,98.9146
hq2590sm.dat,98.7765
hs1404.dat,98.3382
hq2512.dat,98.3083
hq259.dat,97.7548
goe484.dat,97.1248
goe632.dat,94.0602
goe610b.dat,93.0478
goe566.dat,92.7344
goe633.dat,92.4521
goe507.dat,92.1825
goe565.dat,92.0029
goe474.dat,91.9276
hs1606.dat,91.9224
hq2010.dat,91.5979
goe620.dat,91.1264
goe564.dat,91.0385
goe627.dat,90.8680
goe614.dat,90.8420
goe464.dat,90.3369
goe488.dat,90.1722
goe600.dat,89.5526
goe681.dat,89.3489
hq2090sm.dat,89.0903
hq2195.dat,88.6349
hq2012.dat,86.3881
goe563.dat,86.2500
goe476.dat,86.0532
goe575.dat,84.8899
hq209.dat,84.5292
goe506.dat,82.0725
goe676.dat,81.8282
hq1510.dat,81.2265
goe57.dat,81.1097
hq208.dat,81.0426
goe617.dat,80.3303
goe510.dat,79.9148
goe491.dat,79.4812
hq1511.dat,79.2932
goe622.dat,78.5659
hq1512.dat,78.3724
goe522.dat,78.1998
hs1620.dat,76.2353
goe548.dat,76.1287
hq159.dat,75.8211
goe512.dat,74.1890
goe677.dat,73.6299
goe492.dat,73.4891
hq158.dat,70.6372
goe683.dat,70.5931
hq159b.dat,70.1231
hq1585.dat,68.8660
goe530.dat,68.6649
goe587.dat,68.0498
goe481a.dat,66.2044
goe55.dat,65.8180
goe481.dat,64.1794
goe511.dat,64.1684
goe599.dat,64.1131
goe490.dat,62.1658
goe601.dat,60.3579
goe514.dat,57.0082
hsnlf213.dat,56.4895
goe513.dat,54.9792
goe505.dat,53.7791
goe559.dat,50.0762
goe518.dat,47.7070
goe561.dat,46.3775
goe703.dat,45.4522
ht12.dat,45.3990
goe571.dat,45.2077
ht05.dat,44.7120
ht08.dat,44.4464
goe515.dat,44.2338
goe598.dat,42.9758
goe802b.dat,367.1732
goe804.dat,233.2174
goe801.dat,193.5204
goe802.dat,193.5204
gu255118.dat,152.4330
goe803h.dat,150.4523
goe758.dat,143.1907
gs1.dat,135.3854
goe723.dat,132.5328
goe797.dat,130.7553
hor12.dat,128.5877
goe798.dat,123.4237
goe746.dat,123.2949
goe711.dat,122.6539
hobiesm.dat,122.3945
goe777.dat,114.9819
goe796.dat,112.6891
goe769.dat,109.9789
goe802a.dat,109.3197
goe795sm.dat,97.7941
goe770.dat,97.4641
hor20.dat,96.3772
goe741.dat,95.2356
hor07.dat,92.0129
goe735.dat,82.0347
goe795.dat,80.3330
goe744.dat,79.6651
goe738.dat,76.8981
goe767.dat,76.7471
hobie.dat,74.6859
hq1010.dat,72.2836
goe766.dat,70.5516
hq1012.dat,69.6714
hh02.dat,68.9535
hq109.dat,67.6716
goe704.dat,64.7322
hq108.dat,63.6070
hor04.dat,62.1365
hq09.dat,48.2334
hq010.dat,46.4121
hs1430.dat,20.2938
goe570.dat,13.4225
ist-mt1-15.dat,231.4245
ist-mt1-12.dat,218.0804
ist-mt1-18.dat,206.5709
lrn1015.dat,166.5323
ist-mt1-21.dat,161.5053
ist-mt1-24.dat,147.6599
jn153.dat,146.2760
la5055.dat,142.0685
k3311sm.dat,132.0259
k3311.dat,130.3577
l7769.dat,117.2525
isa962.dat,114.3327
legionair140_sm.dat,113.8232
isa571.dat,110.3826
l188tip.dat,105.7370
kc135winglet.dat,98.3350
ls413.dat,97.9115
isa961.dat,96.2243
lds2.dat,87.4529
l188root.dat,86.8964
kc135d.dat,85.8251
lnv109a.dat,84.7619
k3.dat,77.6322
l1003.dat,77.5299
isa960.dat,77.0589
kc135c.dat,77.0034
jx-gs-15.dat,76.8659
jx-gs-06.dat,76.4787
jx-gs-10.dat,75.6345
jx-gs-04.dat,75.0389
kc135b.dat,74.3394
k1.dat,73.1072
lg10sc.dat,71.2937
la2573a.dat,66.7148
kc135a.dat,66.3250
ht23.dat,65.4756
ht22.dat,61.3241
joukowsk.dat,55.3451
ht14.dat,53.3805
k2.dat,52.1941
ht13.dat,51.3110
ht34.dat,48.7494
ht33.dat,47.1498
ls013.dat,45.7735
j5012.dat,44.5244
ht21.dat,43.2438
m21.dat,123.0144
m15.dat,120.6643
m14.dat,118.5884
m17.dat,116.6267
ma409sm.dat,115.9006
ls421mod.dat,110.6156
ls421.dat,109.2053
m24.dat,106.0461
m18.dat,105.0335
mh102.dat,104.2998
ls413mod.dat,101.4058
ls417.dat,100.9428
ls417mod.dat,100.3055
marske7.dat,100.0412
m13.dat,98.1128
mb253515sm.dat,95.5195
m9.dat,94.0612
ma409.dat,93.6464
m8.dat,91.1712
